Come quickly!	Przyjdź szybko!
I like to travel.	Lubię podróżować.
Tom can swim like a fish.	Tom pływa jak ryba.
We lost by a score of three to one.	Przegraliśmy wynikiem trzy do jednego.
Tom will obey you.	Tom będzie ci posłuszny.
It won't last more than three minutes.	To nie zajmie więcej niż trzy minuty.
Hold the candle.	Potrzymaj świecę.
He doesn't tell lies.	On nie kłamie.
Let's look around and see if anybody's in the park.	Rozejrzyjmy się, czy ktoś jest w parku.
When did you come to Australia?	Kiedy przyjechałeś do Australii?
Tom isn't a teenager anymore.	Tom nie jest już nastolatkiem.
She looks a lot like her mother.	Jest bardzo podobna do matki.
Do you really not know?	Naprawdę nie wiesz?
You elect your representative by voting.	Wybierasz swojego reprezentanta poprzez głosowanie.
I can't tell you what an honor this is.	Nawet nie wiesz, jaki to dla mnie zaszczyt.
He is always laughing.	On zawsze się śmieje.
Everyone sat.	Każdy usiadł.
That reminds me of something I heard yesterday.	To przypomina mi coś, co słyszałem wczoraj.
Tom moved.	Tom się przeprowadził.
You promised you wouldn't do that.	Obiecałaś że tego nie zrobisz.
Can you sleep?	Możesz spać?
Please go.	Proszę iść.
It's all starting to make sense.	Wszystko zaczyna nabierać sensu.
I don't want to argue with you.	Nie chcę się z tobą kłócić.
My mother washes clothes every day.	Moja mama pierze ubrania codziennie.
I'm very happy to meet you.	Bardzo się cieszę, że cię widzę.
I hate fighting.	Nienawidzę walki.
The financial situation is getting worse week by week.	Sytuacja finansowa pogarsza się z tygodnia na tydzień.
He stopped talking.	Przestał mówić.
I go shopping every other day.	Chodzę na zakupy co drugi dzień.
Tom drinks too much beer.	Tom pije za dużo piwa.
A boy and a girl are sitting on the fence.	Chłopak i dziewczyna siedzą na płocie.
I will survive.	Przeżyję.
I want to learn about American daily life.	Chciałbym poznać życie codziennie w USA.
I just ran three miles.	Przed chwilą przebiegłam trzy mile.
Be strong.	Bądźcie silni.
I'd like to find out my bank balance.	Chciałbym poznać mój stan konta.
It's under the chair.	Jest pod krzesłem.
She's really smart, isn't she?	Ona jest naprawdę bystra, nieprawdaż?
I don't like being controlled.	Nie lubię być kontrolowany.
How long does this train stop there?	Jak długo ten pociąg tu stoi?
Tom didn't participate in the discussion.	Tom nie uczestniczył w dyskusji.
We offered to help.	Zaoferowaliśmy pomoc.
The town was humming with activity.	Miasto pulsowało życiem.
What a beautiful rainbow!	Jaka piękna tęcza!
Are you happy in your house?	Czy jesteś szczęśliwy w swoim domu?
What's your marital status?	Jaki jest pani stan cywilny?
Come in.	Wejdź.
The building on the hill is our school.	Ten budynek na wzgórzu to nasza szkoła.
It seems like it'll rain.	Zdaje się, że będzie padało.
I thought Tom had a day off.	Myślałem, że Tom ma dzień wolny.
Be sure to put out the fire before you leave.	Upewnij się, że zagasiłeś ogień zanim wyjdziesz.
The air conditioner is out of order.	Klimatyzator jest zepsuty.
I'm not Catholic.	Nie jestem katoliczką.
Tom just wants you to take care of his dog.	Tom chce jedynie, żebyś zajął się jego psem.
I'm leaving for Canada tomorrow.	Wyjeżdżam jutro do Kanady.
When did you work in Boston?	Kiedy pracowałeś w Bostonie?
We have a half-dozen eggs.	Mamy pół tuzina jajek.
Tom hasn't slept a wink.	Tom nie zmrużył oka.
Tom pronounces my name incorrectly.	Tom błędnie wymawia moje imię.
Eat whatever you like.	Jedz co chcesz.
I've been trying to teach our baby to eat from a spoon.	Próbuję nauczyć nasze dziecko, by jadło z łyżki.
This book is chiefly concerned with the effects of secondhand smoking.	Ta książka traktuje głównie o skutkach biernego palenia.
We import a lot of things from Australia.	Sprowadzamy z Australii dużo rzeczy.
I need to get something to eat.	Muszę zdobyć coś do jedzenia.
She cut the cake into six pieces and gave one to each of the children.	Podzieliła ciasto na sześć kawałków i dała po jednym każdemu dziecku.
Do you see what I'm getting at?	Widzisz do czego dążę?
This is the most interesting book I've ever read.	To jest najciekawsza książka, jaką kiedykolwiek przeczytałem.
I was fifteen years old in this picture.	Na tym zdjęciu miałem piętnaście lat.
I had some money stolen yesterday.	Ukradziono mi wczoraj pieniądze.
Tom hoped that Mary's dog would like him.	Tom miał nadzieję, że pies Mary go polubi.
I'm younger than he is.	Jestem młodszy od niego.
He walked quietly.	Szedł cicho.
I promise you I won't ever leave you.	Obiecuję, że nigdy cię nie zostawię.
For Tom, getting fired was an unexpected shock.	Dla Toma, zwolnienie było niespodziewanym szokiem.
My parents were teachers.	Moi rodzice byli nauczycielami..
Keep looking.	Szukaj dalej.
Construction began Monday.	Budowa zaczęła się w poniedziałek.
I'm not feeling too well.	Niezbyt dobrze się czuję.
I'm going to visit Tom.	Odwiedzę Toma.
Stop grumbling.	Przestań narzekać.
Can you stay?	Możesz zostać?
Tough luck!	Pech!
Tom ignored most of Mary's advice.	Tom zignorował większość porad Mary.
I like Chinese food.	Lubię chińską kuchnię.
He sold us out.	Sprzedał nas.
He put the book on the shelf.	Odłożył książkę na półkę.
This shirt needs ironing.	Tą koszulę trzeba wyprasować.
Nobody stayed to help clean up.	Nikt nie został, aby pomóc posprzątać.
Sometimes I think I'd be better off dead.	Czasem myślę, że lepiej byłoby, gdybym nie żył.
She spent more money than usual.	Wydała więcej pieniędzy niż zazwyczaj.
Tom's favorite season is spring.	Ulubioną porą roku Toma jest wiosna.
Tom grinned.	Tom wyszczerzył się.
Do you know a good restaurant?	Znasz jakąś dobrą restaurację?
It works.	To działa.
Where's my wife?	Gdzie jest moja żona?
It is true that he is young, but he is very reliable.	To prawda, że jest młody, ale za to bardzo rzetelny.
He is playing in his room.	On gra w swoim pokoju.
Maybe Tom didn't want to bother you.	Może Tom nie chce ci przeszkadzać.
We waited outside.	Czekaliśmy na zewnątrz.
Wounds heal as time passes.	Rany z czasem goją się.
Take care of yourself.	Dbaj o siebie.
Tom pulled the emergency brake.	Tom pociągnął za hamulec bezpieczeństwa.
Tom likes reading magazines.	Tom lubi czytać czasopisma.
This won't end well.	To się dobrze nie skończy.
Hi, everybody.	Cześć wszystkim.
What will they do with Tom?	Co oni zrobią z Tomem?
It looks like we're staying here tonight.	Chyba zostajemy tu na dziś wieczór.
Who taught you that?	Kto cię tego nauczył?
Rabbits have long ears and short tails.	Królik ma długie uszy i krótki ogon.
This is a newspaper.	To jest gazeta.
That must be Tom's girlfriend.	To musi być dziewczyna Tom'a.
That's a dangerous curve. There've been many accidents there.	To jest niebezpieczny zakręt. Było tu wiele wypadków.
We can do nothing about it.	Nie możemy nic z tym zrobić.
Man has the ability to speak.	Człowiek ma zdolność mówienia.
He is good at football.	On jest dobry w piłkę nożną.
It is not easy to catch a hare with your bare hands.	Nie jest łatwo złapać zająca gołymi rękami.
Tom thinks it's impossible for Mary to break the record.	Tom myśli, że to niemożliwe aby Mary pobiła rekord.
I know what's on your mind.	Wiem, co masz na myśli.
Tom ran a hundred meters in twelve seconds.	Tom przebiegł sto metrów w dwanaście sekund.
Tom is a little angry.	Tom jest trochę zły.
She put on her coat and went out.	Włożyła płaszcz i wyszła.
Tom will cry.	Tom będzie płakał.
Are you a perfectionist?	Czy jesteś perfekcjonistą?
I like to play golf.	Lubię grać w golfa.
Everyone's sick.	Wszyscy są chorzy.
She turned around and smiled.	Odwróciła się i się uśmiechnęła.
Someone came in.	Ktoś wszedł.
Tom didn't flinch.	Tom nie wzdrygnął się.
How can I deactivate my account on this site?	Jak mogę usunąć konto na tej stronie?
Please go to the playground to play.	Idź proszę na plac zabaw się pobawić.
Tom was incredible.	Tom był niesamowity.
The bishop took pity on the desperate immigrants.	Biskup zlitował się nad zdesperowanymi imigrantami.
Learn from others' mistakes.	Ucz cię na cudzych błędach.
I went home and told my wife about the job I'd been offered in Australia.	Wróciłem do domu i powiedziałem żonie o pracy w Australii, którą mi zaoferowano.
I thought you had to get up by 7:30.	Myślałem, że musisz wstać na 7:30.
You'd better take an umbrella with you.	Lepiej zabierz ze sobą parasol.
Who'll pay the rent?	Kto zapłaci czynsz?
I wish I had more.	Chciałbym mieć więcej.
Do you remember what I taught you?	Pamiętasz, czego cię uczyłem?
Tom grew a beard.	Tom zapuścił brodę.
He tried writing a short story.	Próbował napisać krótkie opowiadanie.
There are plenty of idiots in the world.	Na świecie jest wielu idiotów.
He lives hand to mouth and never saves a cent.	On żyje z dnia na dzień, ani grosza nie oszczędzi.
In a democracy, all citizens have equal rights.	W demokracji wszyscy obywatele mają równe prawa.
She's eating for two.	Ona je za dwóch.
You never return my calls.	Nigdy nie odpowiadasz na moje telefony.
Tom was stuck in Boston because of the snow storm.	Tom utknął w Bostonie z powodu zamieci śnieżnej.
I know people.	Znam ludzi.
What's happened to us?	Co się nam stało?
Ask again later.	Zapytaj ponownie później.
Tom and Mary walked close together.	Tom i Mary szli blisko przy sobie.
He's reading a novel now.	On czyta teraz powieść.
Go for a walk every day.	Spaceruj każdego dnia.
Eat more vegetables.	Jedz więcej warzyw.
It's urgent.	To pilne.
I don't think it's funny at all.	W ogóle nie uważam, że to jest śmieszne.
I wasn't sure I could trust Tom, so I didn't say anything.	Nie byłem pewien, czy mogę zaufać Tomowi, więc nic nie powiedziałem.
You've been deceived.	Zostałeś oszukany.
Most folks ate very quickly and the food soon disappeared.	Większość ludzi zjadła szybko i jedzenie szybko znikło.
He did what he promised to do.	Zrobił to, co obiecał.
You're obedient.	Jesteś posłuszny.
She left.	Odeszła.
I can't put up with these insults.	Nie mogę znieść tych obelg.
I wonder what Tom thinks about this.	Zastanawiam się, co Tom o tym myśli.
Do you enjoy living like this?	Lubisz takie życie?
I sang a song.	Zaśpiewałem piosenkę.
Tom barely spoke.	Tom prawie nie mówił.
She has an advantage over me.	Ona ma nade mną przewagę.
He's shorter than Tom.	On jest niższy niż Tom.
I'll have to deal with it somehow.	Będę musiał sobie z tym jakoś poradzić.
It works now.	Teraz działa.
My right hand is numb.	Moja prawa ręka jest zdrętwiała.
Don't forget your jacket.	Nie zapomnij swojej kurtki.
Tom was wearing a neck brace.	Tom miał na sobie kołnierz ortopedyczny.
She went to see him the other day.	Poszła zobaczyć się z nim innego dnia.
Tom wasn't really sure what Mary meant.	Tom nie był pewien, co Mary miała na myśli.
We have to bring our teaching methods up to date.	Musimy unowocześnić nasze metody uczenia.
Tom and Mary are probably studying.	Tom i Mary prawdopodobnie się uczą.
What a relief!	Cóż za ulga!
Judging from his accent, he is from Kansai.	Sądząc po jego akcencie, jest z Kansai.
That's not a cat. That's a dog.	To nie jest kot. To pies.
Sorry, but he is out now.	Przykro mi, ale teraz go nie ma.
It's about time you went to school.	To już czas żebyś poszedł do szkoły.
Man is mortal.	Mężczyzna jest śmiertelny.
Tom is a confirmed bachelor.	Tom jest zatwardziałym kawalerem.
Have you told anyone?	Powiedziałeś komuś?
He will walk.	Będzie chodził.
She is attractive.	Jest atrakcyjna.
Their names were erased from the list.	Ich nazwiska skreślono z listy.
He lives with his mom.	On mieszka z mamą.
Tom hasn't played the piano in years.	Tom od lat nie grał na pianinie.
Tom will be alone.	Tom będzie sam.
The people in the room all know one another.	Wszyscy ludzie w tym pokoju się znają.
Was it cold yesterday?	Czy wczoraj było zimno?
You know everything.	Wiesz wszystko.
I traveled to Boston.	Pojechałem do Bostonu.
Tom is going to be here.	Tom tutaj będzie.
Tom explained everything to Mary.	Tom wyjaśnił wszystko Mary.
The fireman soon put the fire out.	Strażacy szybko ugasili ogień.
Some of those things could be mine.	Część z tamtych rzeczy może być moja.
Keep your head down.	Trzymaj głowę nisko.
Don't sweat it.	Nie martw się tym.
Tom said that he was annoyed.	Tom powiedział, że zdenerwowało go to.
Our train was an hour late because of the heavy snow.	Nasz pociąg się spóźnił o godzinę z powodu śnieżycy.
Help Tom.	Pomóż Tom.
Please stay in the car.	Proszę zostać w samochodzie.
I still can't believe it happened.	Wciąż nie mogę uwierzyć, że to się stało.
The teacher warned us that the test would be hard.	Nauczyciel ostrzegł nas, że test będzie trudny.
Tom just listened.	Tom tylko słuchał.
I found it rather difficult to make myself understood.	Dość trudno mi było osiągnąć zrozumienie.
Three hours passed.	Minęły trzy godziny.
Nobody was home.	Nikogo nie było w domu.
Earthquakes frequently hit Japan.	Trzęsienia ziemi często są w Japonii.
Everyone smiled.	Wszyscy się uśmiechali.
We walked for two hours.	Chodziliśmy przez dwie godziny.
Do you have a Twitter account?	Masz konto na Twitterze?
I have no idea where Tom wants to do that.	Nie mam pojęcia, gdzie Tom chce to zrobić.
That bed is very comfortable.	To łóżko jest bardzo wygodne.
Tom is lying in bed, asleep.	Tom leży w łóżku i śpi.
We'd like that.	Chcielibyśmy tego.
Do you like trips?	Lubisz wycieczki?
Write your name and address.	Zapisz swoje nazwisko i adres.
It's noisy next door.	U sąsiada jest głośno.
I don't know what size shirt I should buy.	Nie wiem jaki rozmiar bluzki powinienem kupić.
Tom is kind to people.	Tom jest życzliwy dla ludzi.
The student raised his hand.	Uczeń podniósł rękę.
It's highly unlikely that our taxes will be lowered.	Bardzo mało prawdopodobne, że nasze podatki spadną.
My job is teaching English.	Pracuję jako nauczyciel angielskiego.
I could tell them nothing.	Nie mogę im nic powiedzieć.
I assume you're in a hurry.	Przypuszczam, że się spieszysz.
I can't find my wallet.	Nie mogę znaleźć mojego portfela.
Tom was sentenced to three years in a state prison.	Tom został skazany na trzy lata w więzieniu stanowym.
I seldom eat dairy products.	Rzadko jem nabiał.
I'm just kidding.	Tylko żartuję.
Are you ready for today's meeting?	Czy jesteś gotowy na dzisiejsze spotkanie?
Maybe it wasn't Tom.	Może to nie był Tom.
Tom didn't know what Mary's phone number was.	Tom nie wiedział, jaki jest numer do Mary.
We divided the money between us.	Podzieliliśmy się pieniędzmi pomiędzy sobą.
Duty calls.	Obowiązki wzywają.
I know that.	Wiem to.
We're in no danger now.	Nie jesteśmy już w niebezpieczeństwie.
She was stupid enough to go out with him.	Była wystarczająco głupia, żeby z nim iść.
We all have secrets.	Wszyscy mamy tajemnice.
Tom knows a lot of stuff about Mary.	Tom wie wiele rzeczy na temat Mary.
Speech is silver, silence is golden.	Mowa jest srebrem, ale milczenie złotem.
Don't confuse Austria with Australia.	Nie myl Austrii z Australią.
Keep the windows open.	Zostaw otwarte okna.
You should omit this word from the sentence.	Powinno się pominąć w zdaniu to słowo.
We're always happy.	Zawsze jesteśmy weseli.
I arrived in Australia three days ago.	Przybyłem do Australii trzy dni temu.
Tom knows us.	Tom nas zna.
Is it so difficult to write?	Czy pisanie jest takie trudne?
I stopped smoking.	Przestałem palić.
I like playing sports.	Lubię gry sportowe.
I have to go back to work now.	Teraz muszę wrócić do pracy.
A stranger spoke to me.	Nieznany człowiek odezwał się do mnie.
She went down the stairs in a hurry.	W pośpiechu zbiegła po schodach.
We got lost in the forest.	Zgubiliśmy się w lesie.
Tom drowned in his bathtub.	Tom utopił się w swojej wannie.
What makes you think that Tom did this?	Co sprawia, że myślisz, że Tom to zrobił?
I don't think it makes him a bad person just because he's decided he likes to eat horse meat.	To, że on lubi koninę, nie znaczy zaraz, że jest złym człowiekiem.
Water the plants.	Podlej rośliny.
How do you plan to celebrate?	Jak zamierzasz świętować?
Change was in the air.	Zmiany były w powietrzu.
He works very hard.	On pracuje bardzo ciężko.
They're having a going-out-of-business sale.	Robią wyprzedaż likwidacyjną.
My children really like animals.	Moje dzieci naprawdę lubią zwierzęta.
Start here.	Zacznij tutaj.
I knew that Tom would be able to do that.	Wiedziałem, że Tom będzie w stanie to zrobić.
Human trafficking is a crime.	Handel ludźmi jest przestępstwem.
The basket was empty.	Koszyk był pusty.
I'll take this coat.	Wezmę ten płaszcz.
Tom is very handsome.	Tom jest bardzo przystojny.
He committed five murders.	Popełnił pięć morderstw.
You will save your father a lot of worry if you simply write him a letter.	Oszczędzisz ojcu martwienia się, jeśli po prostu napiszesz do niego list.
Tom returned to his room and closed the door.	Tom wrócił do swojego pokoju i zamknął drzwi.
Tom has to follow our rules.	Tom musi przestrzegać naszych zasad.
What are these?	Co to jest?
We feel for your loss.	Przykro mi z powodu Twojej straty.
You're inconsiderate.	Jesteś bezmyślny.
I've lost my ticket.	Zgubiłem mój bilet.
She's Tom's sister.	Ona jest siostrą Toma.
I've already bought my ticket.	Kupiłem już bilet.
Did Tom contact you?	Kontaktował się z wami Tom?
It's too creepy.	To zbyt przerażające.
Ten is ten percent of one hundred.	Dziesięć to dziesięć procent ze stu.
Are there any apples on the tree?	Są jakieś jabłka na drzewie?
That man is looking at you.	Tamten mężczyzna na ciebie patrzy.
Can Tom walk?	Czy Tom może chodzić?
I don't like the way I look.	Nie podoba mi się mój wygląd.
I think it's too late.	Myślę, że jest zbyt późno.
I couldn't keep lying to Tom.	Nie mogłem okłamywać Toma.
You shouldn't visit my grandfather today.	Nie powinnaś odwiedzać dziś mojego dziadka.
Tom hired an assistant.	Tom zatrudnił asystenta.
There's a radio in my room.	W moim pokoju jest radio.
I'd like to cancel my appointment for tomorrow.	Chciałbym odwołać swoją jutrzejszą wizytę.
Tom didn't tell you about what happened to Mary, did he?	Tom nie powiedział ci, co się przydarzyło Mary, prawda?
Do you travel a lot?	Czy często podróżujesz?
Tom gave me that idea.	Tom podsunął mi ten pomysł.
Tom didn't want Mary to know.	Tom nie chciał, żeby Mary wiedziała.
Can I borrow some money from you?	Mogę pożyczyć od ciebie pieniądze?
Tom's guardian angel watches over him.	Anioł stróż Toma czuwa nad nim.
You talk fast.	Mówicie szybko.
Was that Tom you were just talking to?	Czy ten, z którym właśnie rozmawiałeś, to był Tom?
Tom is a sensitive child.	Tom jest wrażliwym dzieckiem.
Tom has shown he can't be trusted.	Tom pokazał, że nie można mu ufać.
He looked over my report.	Przejrzał mój raport.
I can't believe that you were the smartest kid in your class.	Nie chce się wierzyć, że byłeś najinteligentniejszym dzieckiem w klasie.
Tom is quite good at his job.	Tom jest całkiem dobry w swoim fachu.
Doctors don't know anything.	Doktorzy niczego nie robią.
Tom doesn't need a wheelchair.	Tom nie potrzebuje wózka inwalidzkiego.
You're done.	Jesteś skończony.
Could you give me a wake-up call at seven?	Możesz mnie obudzić o siódmej?
Will you show me the book?	Pokażesz mi książkę?
Is it much easier to use?	Czy jest to o wiele łatwiejsze w użyciu?
Won't you come in?	Nie wejdziesz?
Introduce us.	Przedstaw nas.
I never cry.	Nigdy nie płaczę.
Nobody complained.	Nikt nie narzekał.
He enjoys playing tennis.	On lubi grać w tenisa.
Tom picked up a pen and started to write.	Tom wziął długopis i zaczął pisać.
Which do you like better, cycling or jogging?	Co wolisz, jazdę na rowerze, czy bieganie?
Our survival depends on finding drinking water soon.	Nasze przeżycie zależy od tego, czy znajdziemy zaraz pitną wodę.
Do you talk to your dog?	Rozmawiasz ze swoim psem?
No one could see us.	Nikt nie powinien być w stanie nas zobaczyć.
I have no appetite.	Nie mam apetytu.
Who wants to go to the park?	Kto chce iśc do parku?
I missed my stop. How long does it take to reach the next stop?	Przegapiłem mój przystanek. Jak daleko jest do następnego?
I trust my friends.	Ufam swoim przyjaciołom.
The students burst out laughing.	Studenci wybuchnęli śmiechem.
Prices dropped suddenly.	Ceny spadły nagle.
Tom asked Mary if she was happy.	Tom spytał Mary, czy jest szczęśliwa.
He quickly scanned my manuscript.	Szybko przejrzał mój manuskrypt.
I would like to make a phone call.	Chciałbym zadzwonić.
We spent the day in the open air.	Spędziliśmy dzień na świeżym powietrzu.
She is nothing but a child.	Ona tylko dziecko.
I can't tell you how much I appreciate your help.	Trudno mi wyrazić, jak ci jestem wdzięczny za pomoc.
I don't like waiting in queues.	Nie lubię czekania w kolejce.
You ought to tell Tom that you don't like doing that.	Powinnaś powiedzieć Tomowi, że nie lubisz tego robić.
Tom assumed that Mary would like the present he bought for her.	Tom założył, że Mary spodoba się prezent, który jej kupił.
I'd like to try on one size smaller than this.	Chciałby przymierzyć to o rozmiar mniejsze.
Is it Japanese food?	Czy to japońskie jedzenie?
I know exactly who it is.	Dobrze wiem, kto to jest.
I've waited for a month.	Czekałam miesiąc.
She whispered something to him.	Coś mu wyszeptała.
Tom didn't work as hard as Mary did.	Tom nie pracował tak ciężko jak Mary.
I know what's going to happen tomorrow morning.	Wiem, co się wydarzy jutro rano.
How many days are there in a week?	Ile jest dni w tygodniu?
Can you tell me what that was about?	Możesz mi powiedzieć, o czym to było?
Tom made me swear that I wouldn't tell anyone.	Tom kazał mi przysiąc, że nikomu nie powiem.
Those children were well looked after.	Te dzieci były zadbane.
I wonder if Tom knows Mary.	Zastanawiam się, czy Tom zna Mary.
The post office is not too far from here.	Urząd pocztowy jest niedaleko stąd.
Tom thinks that Mary was in Australia.	Tom myśli, że Mary była w Australii.
Tom seems angry.	Tom wydaje się być zły.
Tom doesn't drink enough water.	Tom nie pije wystarczającej ilości wody.
Are you new?	Jesteś nowy?
He had barely enough money to buy bread and milk.	Pieniędzy ledwo mu starczyło by kupić chleb i mleko.
Goodnight, ladies.	Dobranoc, panie.
We can't trust them now.	Nie możemy im teraz ufać.
Where there's a will, there's a way.	Gdzie jest wola, tam jest i sposób.
That is your book.	To twoja książka.
Do you really want to do that?	Naprawdę chcesz to zrobić?
That's an imitation.	To imitacja.
Grab this.	Weź to.
That was fairly obvious.	To było dość oczywiste.
Tom's efforts have been rewarded.	Wysiłki Toma zostały nagrodzone.
The date of manufacture is shown on the lid.	Data produkcji jest umieszczona na pokrywce.
I like French cooking.	Lubię francuską kuchnię.
This hat is too tight for me.	Ten kapelusz jest dla mnie za ciasny.
Tom became suspicious.	Tom stał się podejrzany.
I couldn't hear Tom.	Nie słyszałem Toma.
That's much better.	Tak jest o wiele lepiej.
He has only a superficial knowledge of the subject.	On dysponuje jedynie powierzchowną wiedzą na ten temat.
Some people think that it is difficult for a native speaker of English to learn Chinese, but I disagree.	Niektórzy uważają, że trudno się rodowitemu Anglosasowi nauczyć chińskiego, ale ja się z tym nie zgadzam.
Tom has two brothers who both live in Boston.	Tom ma dwóch braci i obaj mieszkają w Bostonie.
Tom chased the thief.	Tomek gonił złodzieja.
We see what we want to see.	Widzimy to, co chcemy widzieć.
The bridge is open to traffic.	Most jest otwarty dla ruchu.
I helped her hang the picture on the wall.	Pomogłem jej powiesić obraz na ścianie.
Tom has never been in a fight.	Tom nigdy nie brał udziału w bójce.
Tom wanted his children to learn French.	Tom chciał żeby jego dzieci nauczyły się francuskiego.
I often ask for help.	Często proszę o pomoc.
This almost never happens.	To prawie nigdy się nie zdarza.
Consider the following problem.	Rozważ następujący problem.
One thing I've always wanted to do is go on a sea cruise.	Zawsze chciałem popłynąć na rejs statkiem.
No one thinks so.	Nikt tak nie myśli.
I ended up in jail.	Skończyłam w więzieniu.
She returned a book to the library.	Ona oddała książkę do biblioteki.
He has sold his car, so he goes to the office by train.	Sprzedał swoje auto, więc jeździ teraz do biura pociągiem.
I dreamed about you.	Śniłem o tobie.
Television is ruining family life.	Telewizja niszczy życie rodzinne.
Two adult tickets, please.	Dwa normalne poproszę.
It's not a road, but a path.	To nie jest droga, a ścieżka.
I've been alone so long.	Tak długo byłem sam.
I need caffeine.	Potrzebuję kofeiny.
Would it be possible for us to do that today?	Czy byłoby możliwe, żebyśmy zrobili to dzisiaj?
I was glad to hear his report.	Ucieszyłem się, kiedy usłyszałem to sprawozdanie.
Tom is off today.	Tom ma dziś wolne.
It costs a lot.	To kosztuje dużo.
I prefer apples to oranges.	Wolę jabłka od pomarańcz.
Tom wasn't there at the time.	Toma tam wtedy nie było.
Do you promise that you won't tell Tom I was in a traffic accident?	Obiecujesz, że nie powiesz Tomowi, że miałem wypadek?
I can't ignore my commanding officer's orders.	Nie mogę zignorować rozkazów mojego dowódcy.
I owe you a lunch.	Jestem ci winna lunch.
Tom doesn't have a ticket for tonight's concert.	Tom nie ma biletu na wieczorny koncert.
There must be a pattern.	Musi być jakiś wzór.
Disrespectful comments will not be tolerated.	Nie będziemy tolerować nieuprzejmych komentarzy.
I'm not interested in any of your theories.	Nie interesuje mnie żadna twoja teoria.
What's your favorite educational TV program?	Jaki jest twój ulubiony program edukacyjny w telewizji?
I speak French as well as Tom does.	Mówię po francusku tak dobrze, jak Tom.
She needs a coat.	Potrzebuje płaszcza.
She's a soccer champion.	Jest mistrzynią w piłce nożnej.
That's the last thing I want to do right now.	To ostatnia rzecz, którą chcę w tej chwili robić.
Have another.	Weź dokładkę.
She was blackmailed by him.	Zaszantażował ją.
We like sharing our data.	Lubimy dzielić się naszymi danymi.
I feel like going outside.	Mam ochotę wyjść na zewnątrz.
Tom said you would come.	Tom powiedział, że przyjdziesz.
Tom never drinks coffee this late in the day.	Tom nigdy nie pije kawy pod koniec dnia.
My father bought a new car.	Mój ojciec kupił nowy samochód.
I keep thirteen cats.	Mam 13 kotów.
Whose dog is playing with Tom?	Z czyim psem bawi się Tom?
I want to make sure you're safe.	Chcę się upewnić, czy jesteś bezpieczny.
They were tortured.	Oni byli torturowani.
The girl lifted the heavy box with one hand.	Dziewczyna podniosła ciężkie pudło jedną ręką.
He came back from Canada.	Wrócił z Kanady.
I can walk no farther.	Nie mogę już dłużej chodzić.
No one flinched.	Nikt nie drgnął.
The exam is coming up.	Zbliża się egzamin.
The man decided to wait at the station until his wife came.	Mężczyzna postanowił, że zaczeka na stacji, aż przyjdzie jego żona.
Tom is standing at the back of the room.	Tom stoi z tyłu pokoju.
Tom seems to be really happy.	Tom wygląda na naprawdę szczęśliwego.
Tom is sick, but it isn't serious.	Tom jest chory, ale to nic poważnego.
I don't even have a girlfriend.	Nawet nie mam dziewczyny.
Tom is a designer.	Tom jest projektantem.
Tom doesn't want to talk to anybody.	Tom nie chce z nikim rozmawiać.
A bunch of people told me not to eat there.	Kilka osób mówiło mi, bym tam nie jadł.
We can get through this if we all stick together.	Możemy przez to przejść, jeśli będziemy się trzymali wszyscy razem.
That's scary.	To jest straszne
You're insincere.	Jesteś nieszczery.
Tom must be asleep.	Tom pewnie już śpi.
It's not a virus.	To nie jest wirus.
You can't skateboard here.	Tutaj nie można jeździć na deskorolce.
My, you're looking green around the gills.	O rany, wyglądasz okropnie.
Wash your face.	Umyj swą twarz.
He found a broken camera.	Znalazł zepsuty aparat fotograficzny.
She wanted to be a singer.	Ona chciała zostać piosenkarką.
I blamed you and Tom.	Obwiniałem ciebie i Toma.
Tom went into the bank.	Tom poszedł do banku.
Tom asked Mary if she was coming with him.	Tom spytał Mary, czy idzie z nim.
I'm counting how many people there are.	Liczę ilu jest ludzi.
You must be tired.	Na pewno jesteś zmęczony.
I'm going fishing with him.	Mam zamiar łowić z nim ryby.
Tom came over while you were asleep.	Tom przyszedł, kiedy spałeś.
He is having lunch.	Je teraz obiad.
I'm going to get fired.	Zwolnią mnie.
I owed Tom some money for some things he bought for me.	Byłem winien Tomowi trochę pieniędzy za kilka rzeczy, które dla mnie kupił.
I'm a lousy singer.	Jestem kiepskim piosenkarzem.
It's kind of small.	To jest trochę za małe.
I need Tom's help.	Potrzebuję pomocy Toma.
I really need your help.	Naprawdę potrzebuję twojej pomocy.
What time do you usually get up?	O której godzinie zwykle wstajesz?
Is Tom new?	Tom jest nowy?
I'm not sure how I can help you.	Nie jestem pewien, jak mogę ci pomóc.
Tom was mauled by a dog when he was a kid.	Tom był poturbowany przez psa, kiedy był dzieckiem.
Don't make me do this.	Nie zmuszaj mnie do tego.
The weather is beautiful.	Pogoda jest piękna.
Something you should know about me is that I'm deeply in debt.	Trzeba ci wiedzieć, że tonę po uszy w długach.
Construction should start in October.	Budowa powinna rozpocząć się w październiku.
Did Tom tell you what was written in the notebook?	Czy Tom ci powiedział, co jest napisane w notesie?
Could you come as quickly as possible?	Mogą Państwo przyjść tak szybko, jak to tylko możliwe?
Have I answered your question?	Czy odpowiedziałem na twoje pytanie?
How long would you like to stay?	Jak długo chciałabyś zostać?
No one knows why Tom agreed to do that.	Nikt nie wie, czemu Tom zgodził się to zrobić.
Why is life so full of suffering?	Czemu życie jest tak pełne cierpienia?
You're awesome.	Jesteś niesamowity.
